Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-02-24,3085.45556640625,3115.8523559367027,3068.98694665875,3105.4630497902713,977592
2023-02-27,3023.210205078125,3075.973496654053,3008.8283524793037,3075.973496654053,1128022
2023-02-28,3005.970703125,3077.7887089468877,2994.2201238468547,3020.170907349562,4116217
2023-03-01,3072.072021484375,3075.0663765130616,3007.921226952139,3015.1801620398064,1669307
2023-03-02,3013.7734375,3057.7353150042663,3010.643066320148,3049.659839030144,1556538
2023-03-03,3032.555908203125,3046.9377608122345,3022.5296821304796,3043.308293556949,1043190
2023-03-06,3059.50537109375,3089.539084539037,3047.8456170537634,3050.476892626339,1334132
2023-03-08,3076.3369140625,3081.4182577501183,3022.3033877346093,3052.3825144497637,1844590
2023-03-09,3027.7470703125,3071.436694206459,3022.302869377422,3071.436694206459,1648500
2023-03-10,3022.439697265625,3028.1107414289127,2985.23764755446,3006.01626475868,1024404
2023-03-13,2977.9326171875,3057.6448843231524,2968.9043612497244,3024.2537396226567,1901233
2023-03-14,2917.139404296875,2998.3033356920723,2912.103473293845,2976.1636701703733,2670334
2023-03-15,2902.576171875,2958.3340505571196,2896.31542826231,2948.9427136129407,1780522
2023-03-16,2889.96337890625,2921.539789172319,2878.167610012755,2910.8328161793565,1901060
2023-03-17,2884.7919921875,2922.9920105654155,2852.761892285247,2858.6597778768037,6739966
2023-03-20,2852.1259765625,2876.034957736139,2808.345530460816,2876.034957736139,2289468
2023-03-21,2818.372314453125,2864.3303576607777,2810.523458137798,2852.1263176035486,1815297
2023-03-22,2840.78466796875,2852.308184645108,2818.3727472154897,2840.1041427139435,1123939
2023-03-23,2835.20361328125,2854.8936502715574,2813.744476842171,2826.356786886793,1372218
2023-03-24,2831.4384765625,2876.3531391453694,2818.2816562099424,2857.207608505045,1329577
2023-03-27,2833.071533203125,2860.700809218684,2818.2814093833103,2844.595047783863,1524217
2023-03-28,2827.264404296875,2857.7974330642905,2822.0470446787185,2837.336265387191,1303530
2023-03-29,2848.1337890625,2858.2056499628916,2816.55759910205,2839.150945629806,1740616
2023-03-31,2908.927734375,2915.370128591344,2860.020742396488,2894.455275240554,2382581
2023-04-03,2903.573974609375,2926.2127336376348,2879.7555943489074,2926.2127336376348,1521830
2023-04-05,2939.687255859375,2961.9631570208894,2890.4171900754327,2890.4171900754327,2655065
2023-04-06,2922.3564453125,2955.611574142893,2917.1844984383324,2926.258167173755,1703464
2023-04-10,2961.10107421875,2968.9045182251125,2917.1846045518755,2921.721439084615,2203187
2023-04-11,2916.095947265625,2969.7666137305973,2896.45131988944,2961.6457238357684,2348779
2023-04-12,2941.365478515625,2958.8777019410077,2902.6663733700425,2928.9345977455678,2417727
2023-04-13,2893.457275390625,2930.795337912174,2885.426989028085,2912.647998358538,4174070
2023-04-17,2848.678466796875,2870.3644477381677,2785.8433071135864,2843.7787740020203,5505048
2023-04-18,2840.738525390625,2864.4208867828047,2822.455173519428,2862.696756998552,2617302
2023-04-19,2803.401123046875,2849.132330441354,2786.9776920224904,2840.739185837347,3298034
2023-04-20,2817.19287109375,2824.633235568571,2792.8753932155673,2803.7637963080256,2419999
2023-04-21,2868.05078125,2871.3171692054207,2813.563354091303,2821.91108534421,1929184
2023-04-24,2880.70849609375,2886.288713952927,2836.564963222924,2859.203944736877,1640676
2023-04-25,2881.797119140625,2895.5890509725477,2855.937163883853,2888.1486870984286,2024090
2023-04-26,2901.895751953125,2911.196263925913,2886.334496140423,2886.334496140423,2000029
2023-04-27,2892.640625,2902.848503896997,2876.943131368921,2889.963936616484,2434446
2023-04-28,2921.041259765625,2928.3001958774908,2900.1718184440097,2903.9373029419803,2931312
2023-05-02,2921.17724609375,2935.332259976027,2912.648084860293,2935.332259976027,2321159
2023-05-03,2885.335693359375,2918.0917245239298,2879.210967258462,2918.0917245239298,2468285
